Algorithm: Kruskal's MST
MST edges: 
15 4 7672
66 10 8601
58 39 9108
2 8 14076
16 32 15936
47 4 17658
8 9 40472
56 62 48871
81 62 51375
11 60 51448
75 7 58971
29 58 64123
71 27 65383
29 14 66759
3 26 72107
79 10 72359
3 7 75151
49 87 75169
77 71 78544
36 7 78567
18 73 78897
18 41 81738
10 72 82327
57 63 85174
14 6 87586
3 6 95027
53 26 105279
57 15 112664
70 73 118031
4 82 118782
70 65 120675
15 27 120819
68 44 123083
77 72 124586
72 1 127251
6 95 128701
35 37 130171
97 27 141694
38 16 145272
15 38 146670
21 20 150888
34 5 153126
88 36 154107
72 68 156519
88 43 156853
38 58 158090
16 23 160098
30 65 161929
24 0 162405
69 31 177992
81 3 187140
54 88 187450
16 35 189068
64 61 190702
9 19 193498
44 94 196250
76 48 197665
43 34 198806
81 90 202112
22 59 202144
68 13 202294
55 25 203997
61 18 208097
76 42 209303
1 0 212549
35 84 216160
8 29 216230
98 62 218004
61 27 223856
38 12 226076
25 67 230543
82 80 231022
37 93 238434
31 44 264610
69 52 267499
19 22 270874
51 6 277798
78 87 279181
60 58 290897
0 99 315168
51 83 318923
98 49 342963
38 67 364270
85 73 365818
86 19 380473
46 97 407780
48 12 433163
59 74 438046
17 42 441578
89 64 476367
33 2 516864
92 0 577251
5 45 593813
40 13 601079
28 20 607841
91 9 610338
21 93 634518
46 50 744244
21 96 791992
Total MST weight: 21233532
Execution time: 0.650167


Algorithm: Prim's MST 
MST edges: 
0 24 162405
0 1 212549
1 72 127251
72 10 82327
10 66 8601
10 79 72359
72 77 124586
77 71 78544
71 27 65383
27 15 120819
15 4 7672
4 47 17658
15 57 112664
57 63 85174
4 82 118782
27 97 141694
15 38 146670
38 16 145272
16 32 15936
72 68 156519
68 44 123083
38 58 158090
58 39 9108
58 29 64123
29 14 66759
14 6 87586
6 3 95027
3 26 72107
3 7 75151
7 75 58971
7 36 78567
26 53 105279
6 95 128701
36 88 154107
88 43 156853
16 23 160098
3 81 187140
81 62 51375
62 56 48871
88 54 187450
16 35 189068
35 37 130171
44 94 196250
43 34 198806
34 5 153126
81 90 202112
68 13 202294
35 84 216160
29 8 216230
8 2 14076
8 9 40472
9 19 193498
62 98 218004
27 61 223856
61 64 190702
61 18 208097
18 73 78897
18 41 81738
73 70 118031
70 65 120675
65 30 161929
38 12 226076
82 80 231022
37 93 238434
44 31 264610
31 69 177992
69 52 267499
19 22 270874
22 59 202144
6 51 277798
58 60 290897
60 11 51448
0 99 315168
51 83 318923
98 49 342963
49 87 75169
87 78 279181
38 67 364270
67 25 230543
25 55 203997
73 85 365818
19 86 380473
97 46 407780
12 48 433163
48 76 197665
76 42 209303
59 74 438046
42 17 441578
64 89 476367
2 33 516864
0 92 577251
5 45 593813
13 40 601079
9 91 610338
93 21 634518
21 20 150888
20 28 607841
46 50 744244
21 96 791992
Total MST weight: 21233532
Execution time: 1.08442
