Algorithm: Kruskal's MST
MST edges: 
9731 6908 17
5230 3131 23
5579 6199 36
6372 2968 103
80 1038 113
3441 93 119
128 2922 233
9343 3012 244
6374 7202 249
3651 9126 250
1172 4187 275
1907 7440 394
8283 7553 399
3448 347 400
9143 2596 416
6055 9961 458
2794 6023 570
3725 2080 576
726 9477 652
2235 1163 757
6146 1396 780
7131 9361 782
131 3667 853
4873 8425 917
1790 5398 936
5400 4869 980
2830 1432 989
4381 333 1015
7114 9340 1037
5832 4838 1056
3092 1771 1078
386 3731 1089
1933 249 1125
732 3975 1133
5976 1081 1182
5548 1185 1192
9302 698 1279
1750 400 1293
7426 6008 1305
6845 4189 1309
6855 64 1314
3388 8039 1339
933 7119 1354
9021 6590 1460
3098 2094 1465
3483 6000 1475
2329 1673 1499
2820 8286 1566
8695 7803 1584
1782 838 1589
4033 8869 1648
3385 1487 1729
857 6418 1765
9330 6965 1847
675 941 1868
3955 1452 1905
8616 444 1916
3304 8699 1923
6812 4866 1938
9842 8583 1942
49 63 2029
4285 1578 2105
8626 2017 2121
634 2668 2183
9574 7910 2195
293 69 2198
1302 3054 2219
5455 3643 2231
8961 2705 2244
7960 1170 2281
7546 8162 2327
603 139 2463
6463 342 2469
3429 2142 2568
910 3043 2584
7770 5441 2595
1620 1894 2634
8629 114 2653
7395 8244 2723
4514 9570 2773
2279 8669 2788
4983 3220 2851
1321 9480 2897
2680 5993 2930
488 5537 2996
5145 3233 3021
9685 7591 3028
900 1458 3086
731 226 3141
6081 4712 3155
882 7153 3168
514 2750 3207
7389 8494 3208
8508 8801 3274
6302 1141 3308
7150 1692 3344
8400 9377 3359
2107 6044 3422
5128 9669 3484
9720 5149 3496
287 8766 3499
8673 3587 3559
3864 1477 3566
6488 110 3576
3128 6668 3583
4770 1594 3629
561 6476 3637
2101 883 3641
2619 8284 3643
276 610 3708
3378 7271 3711
3902 7639 3715
6762 5936 3776
40 518 3858
8550 4116 3892
5657 7945 3941
1211 4766 3966
2922 5235 3983
4084 4361 4043
2612 4507 4077
1760 857 4133
2421 9918 4193
6717 6984 4238
4575 741 4266
4342 9588 4315
5743 5112 4319
2326 7409 4374
3115 6139 4402
742 2 4410
4042 8281 4415
9045 5551 4424
3145 3515 4468
8265 1346 4478
7622 9467 4479
4140 5927 4493
7414 868 4579
229 1908 4582
4838 1210 4644
9579 5752 4648
4771 8337 4655
9453 7056 4660
6674 2326 4670
224 1274 4739
9339 6528 4744
6869 2438 4751
4007 4750 4781
8127 3579 4800
9777 1971 4826
329 6186 4878
1343 2509 4884
4019 2895 4884
2692 7079 4922
9063 6641 4954
1656 4804 4995
2482 1176 5054
7030 1424 5060
593 5684 5110
3083 2668 5136
9463 6010 5138
373 9994 5155
5889 4409 5256
6786 1747 5268
2747 839 5286
4132 1947 5321
1047 1669 5449
3718 3545 5450
880 1287 5469
923 6950 5581
8449 2733 5692
1851 3203 5697
5294 3559 5712
2170 6360 5728
5077 5373 5780
432 2134 5825
4176 8423 5829
848 938 5912
4802 2258 5959
6184 2034 6021
2598 674 6033
2948 8213 6034
7514 2079 6037
4514 5019 6055
3937 681 6066
4794 2008 6068
4823 1661 6081
182 3012 6210
1839 6831 6270
4617 9615 6288
5883 7816 6290
1344 1190 6293
364 9128 6313
4325 8818 6377
9616 3463 6420
3384 4871 6470
5661 4341 6531
4626 6888 6555
582 9282 6565
1932 927 6612
8499 7177 6616
3959 4701 6622
4919 2114 6660
14 857 6700
3082 9363 6714
665 1541 6829
4905 916 6880
8292 7466 6910
2789 6825 6924
7289 9106 6941
4702 1024 6972
123 5524 6973
39 722 7012
495 434 7014
8566 553 7030
4991 7095 7046
1173 1414 7072
4365 6486 7076
4861 5580 7084
3205 7869 7093
3643 1247 7115
274 2619 7145
2437 5114 7169
2121 1755 7211
2590 1798 7317
3807 7059 7355
7780 5850 7417
9644 6535 7485
6818 5256 7507
6418 1549 7532
7844 5678 7629
217 7477 7641
8881 6500 7692
1775 4086 7696
666 565 7741
6930 8512 7766
4508 7451 7773
3979 2345 7806
6217 9855 7835
7439 8983 7859
6099 6386 7916
433 2602 7947
4874 7180 8071
2496 9429 8078
667 3393 8102
2771 7241 8152
6628 8549 8165
1681 1897 8186
3692 2100 8194
2322 768 8216
1521 6441 8243
2657 6471 8258
4115 1708 8261
757 8211 8271
2807 4037 8290
9334 224 8319
7965 3235 8341
8874 2218 8367
9290 6859 8398
8889 7605 8449
744 1709 8458
19 318 8490
5545 7636 8490
941 853 8493
4811 3882 8533
5728 9946 8552
6777 6662 8574
1371 291 8614
4177 8602 8642
937 1715 8731
3552 7295 8747
5172 2751 8755
6251 1543 8840
2629 2937 8860
781 9650 8900
3492 319 8903
7435 3656 8909
5424 3818 8924
147 997 8964
6007 3497 9028
2996 778 9047
2624 1313 9092
2371 608 9102
2864 2432 9111
2545 1115 9197
7198 6851 9224
2875 2663 9244
884 456 9262
3018 8025 9323
8123 7407 9334
2528 4243 9358
3473 9420 9405
9735 6401 9408
5890 7973 9431
2625 5322 9446
2097 9033 9467
3547 5337 9510
3692 4162 9551
1019 7972 9599
2177 1681 9601
5842 4343 9635
9501 2863 9642
2513 7502 9744
4542 4664 9754
761 5105 9756
5315 6788 9804
3405 1433 9807
613 5533 9813
8299 1125 9824
5808 1275 9871
1470 5816 9879
2460 7722 9898
2196 5330 9899
3339 2862 9939
6688 5676 9994
6529 610 10005
5412 8188 10021
2289 3564 10107
59 68 10114
4610 2562 10123
1662 6 10176
9117 324 10190
4028 4119 10220
1117 1509 10241
5229 7094 10259
6801 4260 10282
4508 6647 10304
7543 5605 10335
257 6320 10365
176 2797 10377
982 4350 10442
9323 9088 10554
6028 8762 10564
8107 7807 10581
2984 358 10621
3502 5564 10683
7422 1802 10701
4479 2966 10724
8057 7081 10746
1346 7047 10776
1480 9156 10872
1537 8236 10964
3789 3388 10998
1983 1218 10999
1097 3471 11009
5817 4558 11037
8446 119 11047
7027 6007 11096
9078 3711 11108
346 8753 11154
9331 7428 11215
1163 954 11273
601 3697 11280
6190 1690 11364
927 1006 11367
6286 2421 11385
1774 6856 11437
6901 1332 11481
6870 3187 11500
4885 9169 11548
1691 1773 11602
231 229 11660
4070 3480 11669
418 2114 11696
1775 8478 11704
7886 8030 11715
9386 5965 11720
1660 1068 11722
1222 1720 11795
8751 4013 11832
6057 3791 11867
5917 3412 11928
5441 4264 12000
4613 4412 12012
4719 2385 12085
6948 1689 12121
5284 818 12124
2722 901 12207
3504 7764 12236
3761 9893 12243
9471 8809 12254
6558 7866 12257
6614 961 12285
6002 9958 12293
8755 7362 12305
27 9422 12336
6128 67 12364
3984 2955 12388
8739 6322 12454
26 2 12480
7284 7605 12507
